N,NThreads,Run,ExecutionTime
512,12,6,0.017650
512,12,7,0.022237
512,12,8,0.017913
512,12,9,0.013397
512,13,0,0.019486
512,13,1,0.021468
512,13,2,0.019532
512,13,3,0.016752
512,13,4,0.014705
512,13,5,0.017955
512,13,6,0.017665
512,13,7,0.017384
512,13,8,0.017536
512,13,9,0.016762
512,14,0,0.016790
512,14,1,0.019756
512,14,2,0.020218
512,14,3,0.019564
512,14,4,0.017933
512,14,5,0.020422
512,14,6,0.020251
512,14,7,0.019242
512,14,8,0.020327
512,14,9,0.019988
512,15,0,0.017441
512,15,1,0.014382
512,15,2,0.017348
512,15,3,0.015540
512,15,4,0.016795
512,15,5,0.014958
512,15,6,0.016205
512,15,7,0.018931
512,15,8,0.018736
512,15,9,0.018389
512,16,0,0.018438
512,16,1,0.014584
512,16,2,0.018183
512,16,3,0.016869
512,16,4,0.017863
512,16,5,0.018161
512,16,6,0.017530
512,16,7,0.014883
512,16,8,0.019424
512,16,9,0.018390
1024,1,0,0.193665
1024,1,1,0.195824
1024,1,2,0.194288
1024,1,3,0.193698
1024,1,4,0.195047
1024,1,5,0.194362
1024,1,6,0.193223
1024,1,7,0.198895
1024,1,8,0.197106
1024,1,9,0.197383
1024,2,0,0.116188
1024,2,1,0.109720
1024,2,2,0.106788
1024,2,3,0.112482
1024,2,4,0.109707
1024,2,5,0.107393
1024,2,6,0.109916
1024,2,7,0.116584
1024,2,8,0.110291
1024,2,9,0.113448
1024,3,0,0.086875
1024,3,1,0.088108
1024,3,2,0.086774
1024,3,3,0.080483
1024,3,4,0.083332
1024,3,5,0.075983
1024,3,6,0.082289
1024,3,7,0.076451
1024,3,8,0.080090
1024,3,9,0.085718
1024,4,0,0.067374
1024,4,1,0.070546
1024,4,2,0.064900
1024,4,3,0.069836
1024,4,4,0.066400
1024,4,5,0.063494
1024,4,6,0.066821
1024,4,7,0.085380
1024,4,8,0.087646
1024,4,9,0.088341
1024,5,0,0.075529
1024,5,1,0.073078
1024,5,2,0.077231
1024,5,3,0.074571
1024,5,4,0.059502
1024,5,5,0.075484
1024,5,6,0.075601
1024,5,7,0.072160
1024,5,8,0.071383
1024,5,9,0.073012
1024,6,0,0.066144
1024,6,1,0.069054
1024,6,2,0.069575
1024,6,3,0.070823
1024,6,4,0.066961
1024,6,5,0.066953
1024,6,6,0.072616
1024,6,7,0.069489
1024,6,8,0.069737
1024,6,9,0.066677
1024,7,0,0.059884
1024,7,1,0.061392
1024,7,2,0.058739
1024,7,3,0.061117
1024,7,4,0.059736
1024,7,5,0.062600
1024,7,6,0.060282
1024,7,7,0.065849
1024,7,8,0.066499
1024,7,9,0.059942
1024,8,0,0.067846
1024,8,1,0.075961
1024,8,2,0.057108
1024,8,3,0.057816
1024,8,4,0.059805
1024,8,5,0.054708
1024,8,6,0.055494
1024,8,7,0.057702
1024,8,8,0.059010
1024,8,9,0.058676
1024,9,0,0.053409
1024,9,1,0.054979
1024,9,2,0.054652
1024,9,3,0.051114
1024,9,4,0.051976
1024,9,5,0.054145
1024,9,6,0.054535
1024,9,7,0.054753
1024,9,8,0.054290
1024,9,9,0.052654
1024,10,0,0.048298
1024,10,1,0.052063
1024,10,2,0.051808
1024,10,3,0.048088
1024,10,4,0.051130
1024,10,5,0.054419
1024,10,6,0.050940
1024,10,7,0.050622
1024,10,8,0.052070
1024,10,9,0.049687
1024,11,0,0.049103
1024,11,1,0.047865
1024,11,2,0.048587
1024,11,3,0.047785
1024,11,4,0.047381
1024,11,5,0.049937
1024,11,6,0.046869
1024,11,7,0.048587
1024,11,8,0.048834
1024,11,9,0.049309
1024,12,0,0.045257
1024,12,1,0.047130
1024,12,2,0.046944
1024,12,3,0.047326
1024,12,4,0.047648
1024,12,5,0.046528
1024,12,6,0.047332
1024,12,7,0.046569
1024,12,8,0.047391
1024,12,9,0.045437
1024,13,0,0.045314
1024,13,1,0.044592
1024,13,2,0.044974
1024,13,3,0.052283
1024,13,4,0.046882
1024,13,5,0.041433
1024,13,6,0.042900
1024,13,7,0.044035
1024,13,8,0.042162
1024,13,9,0.048705
1024,14,0,0.044734
1024,14,1,0.044180
1024,14,2,0.044194
1024,14,3,0.043697
1024,14,4,0.041362
1024,14,5,0.041887
1024,14,6,0.044296
1024,14,7,0.043136
1024,14,8,0.045333
1024,14,9,0.041773
1024,15,0,0.039692
1024,15,1,0.041379
1024,15,2,0.040584
1024,15,3,0.041202
1024,15,4,0.041198
1024,15,5,0.042898
1024,15,6,0.041780
1024,15,7,0.041578
1024,15,8,0.040467
1024,15,9,0.044525
1024,16,0,0.051205
1024,16,1,0.046279
1024,16,2,0.040357
1024,16,3,0.041449
1024,16,4,0.042451
1024,16,5,0.041196
1024,16,6,0.039946
1024,16,7,0.042659
